#mpa_vJan21_CHOCOPhlAnSGB_202103
clade_name	profiled_A2_4	profiled_B2_4	profiled_C3_4	profiled_Ctrl2_4	profiled_Ctrl_4	profiled_D3_4	profiled_F2_4	profiled_N1_4	profiled_N2_4	profiled_N4_4	profiled_N6_4
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	17.29576	16.752702820080334	26.2008	20.77078	21.2085	19.1881	7.393570634048098	0.4456420449345435	17.76000613437136	13.43667	9.78668
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus	12.02404	7.585422854479843	68.22926	28.37297	35.89171	79.87116	18.853997985908983	0.9501721667457568	8.416810069805509	86.32939	5.74393
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria_rhizophila	46.59162	44.260272618198925	2.34805	29.71703	24.52953	0.25729	7.020980359691472	0.7203498232054325	40.231010164294894	0.06953	59.74881
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_aeruginosa	24.0639	30.00031356233952	3.22102	21.12651	18.35701	0.68345	4.32134189793785	0.4144034545610675	32.90234753469023	0.16441	24.69642
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	17.29544	16.752249161800492	26.20006	20.77031	21.20813	19.18747	7.393570634048098	0.4456420449345435	17.75974787231539	13.43602	9.78661
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_subtilis	11.87047	7.486614108703314	67.34008	28.03033	35.4123	78.91038	18.6721954665122	0.9453466276001308	8.309820046542406	85.19186	5.67795
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_tequilensis	0.10505	0.0687292293958104	0.63272	0.24274	0.34861	0.68438	0.1224811671166681	0.0032555750751733	0.0724325735432696	0.85737	0.04412
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_halotolerans	0.04706	0.0287875764968246	0.25033	0.09784	0.1279	0.26615	0.0565054772019866	0.0015699640704527	0.0337528640839317	0.27042	0.0215
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria_tytonicola	0.01748	0.0151679659650963	0.0007	0.00844	0.01	0.0	0.0044926177815285	0.0	0.0144527419782579	0.0	0.01569
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria_indica	0.00519	0.0053650022659378	0.00017	0.00307	0.00246	0.0	0.0007406240192143	0.0	0.0053937037073498	0.0	0.00665
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_vallismortis	0.00136	0.00125249133782	0.0054	0.00168	0.00256	0.00939	0.0028121155653417	0.0	0.0007052540759149	0.00906	0.00032
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria_tytonis	0.00117	0.0010256621978998	0.0	0.0007	0.00044	0.0	0.0	0.0	0.0009436498198862	0.0	0.00109
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria_salsicia	0.00042	0.0008086951944979	0.0	0.00028	0.0002	0.0	0.0	0.0	0.0004767914879425	0.0	0.00029
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria_varians	0.00041	0.0002860019590297	0.0	0.00022	0.00016	0.0	0.0	0.0	0.0001291310279844	0.0	0.00043
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_marmotae	0.00032	0.0004536582798403	0.00074	0.00047	0.00036	0.00063	0.0	0.0	0.00024832889997	0.00065	8e-05
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_atrophaeus	0.00011	3.944854607307244e-05	0.00073	0.00037	0.00034	0.00086	0.0	0.0	9.933155998802744e-05	0.00068	4e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria_rhizophila|t__SGB16670	46.58052	44.25105152055434	2.34753	29.70944	24.5228	0.25729	7.019461516525165	0.7203498232054325	40.221027342516095	0.06953	59.73408
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_aeruginosa|t__SGB12320	24.06375	30.000224803110854	3.22102	21.12651	18.35701	0.68345	4.32134189793785	0.4144034545610675	32.90223826997424	0.16441	24.69642
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__SGB10068	17.29544	16.752249161800492	26.20006	20.77031	21.20813	19.18747	7.393570634048098	0.4456420449345435	17.75974787231539	13.43602	9.78661
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_subtilis|t__SGB7788	11.87047	7.486614108703314	67.34008	28.03033	35.4123	78.91038	18.6721954665122	0.9453466276001308	8.309820046542406	85.19186	5.67795
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_tequilensis|t__SGB30129	0.10505	0.0687292293958104	0.63272	0.24274	0.34861	0.68438	0.1224811671166681	0.0032555750751733	0.0724325735432696	0.85737	0.04412
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_halotolerans|t__SGB7787	0.04706	0.0287875764968246	0.25033	0.09784	0.1279	0.26615	0.0565054772019866	0.0015699640704527	0.0337528640839317	0.27042	0.0215
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria_tytonicola|t__SGB35117	0.01748	0.0151679659650963	0.0007	0.00844	0.01	0.0	0.0044926177815285	0.0	0.0144527419782579	0.0	0.01569
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria_rhizophila|t__SGB16671	0.01109	0.0092210976445806	0.00052	0.00758	0.00672	0.0	0.0015188431663075	0.0	0.0099828217787967	0.0	0.01473
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria_indica|t__SGB16668	0.00519	0.0053650022659378	0.00017	0.00307	0.00246	0.0	0.0007406240192143	0.0	0.0053937037073498	0.0	0.00665
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_vallismortis|t__SGB7792	0.00136	0.00125249133782	0.0054	0.00168	0.00256	0.00939	0.0028121155653417	0.0	0.0007052540759149	0.00906	0.00032
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria_tytonis|t__SGB23794	0.00117	0.0010256621978998	0.0	0.0007	0.00044	0.0	0.0	0.0	0.0009436498198862	0.0	0.00109
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria_salsicia|t__SGB16669	0.00042	0.0008086951944979	0.0	0.00028	0.0002	0.0	0.0	0.0	0.0004767914879425	0.0	0.00029
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria_varians|t__SGB35116	0.00041	0.0002860019590297	0.0	0.00022	0.00016	0.0	0.0	0.0	0.0001291310279844	0.0	0.00043
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_marmotae|t__SGB10064	0.00032	0.0004536582798403	0.00074	0.00047	0.00036	0.00063	0.0	0.0	0.00024832889997	0.00065	8e-05
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_aeruginosa|t__SGB12319	0.00015	8.875922866441299e-05	0.0	0.0	0.0	0.0	0.0	0.0	9.933155998802744e-05	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_atrophaeus|t__SGB7786	0.00011	3.944854607307244e-05	0.00073	0.00037	0.00034	0.00086	0.0	0.0	9.933155998802744e-05	0.00068	4e-05
